,,,Company Info,,,,,,,,,,,,Address,,,,Login Info,,BILLING,,,,,,,,ADMIN,,,,,,,,TECHNICAL,,,,,,,
No,File no.,Company Name,Web Address,Registrant Type,Registrant Category,Email,Mobile Number,Telephone Number,Forwarding Letter Number,NID Number,TIN Number,Trade Licence number,Date of Birth,"Tarrif Category (1,2,3 or 4)",Country,City,Post Code,Address,Username,Password,First Name,Last Name,Email,Phone Number,Fax Number,City,Post Code,Address,First Name,Last Name,Email,Phone Number,Fax Number,City,Post Code,Address,Full Name,Last Name,Email,Phone Number,Fax Number,City,Post Code,Address
1,661,"Deputy Commissioner, Noakhali",www.noakhali.gov.bd,Govt.,Organization,dcnoakhali@mopa.gov.bd,1411111111,0321-61021,Not_Found1,NID_Not_Found1,TIN_Not_Found1,TL_Not_Found1,,2,Bangladesh,Noakhali,3800,"Maijdee Court, Noakhali",dcnoa,dcnoa,"Deputy Commissioner, Noakhali",,dcnoakhali@mopa.gov.bd,0321-61021,0321-61062,Noakhali,3800,"Maijdee Court, Noakhali","Deputy Commissioner, Noakhali",,dcnoakhali@mopa.gov.bd,0321-61021,0321-61062,Noakhali,3800,"Maijdee Court, Noakhali",Md. Kamruzzaman,,opu550@yahoo.com,1783709973,0321-61062,Noakhali,3800,"Maijdee Court, Noakhali"
2,665,"Deputy Commissioner, Kushtia",www.kushtia.gov.bd,Govt.,Organization,dckushtia@mopa.gov.bd,1411111112,7162300,Not_Found2,NID_Not_Found2,TIN_Not_Found2,TL_Not_Found2,,2,Bangladesh,Kushtia,9000,Kushtia,dckushtia,dckushtia,"Deputy Commissioner, Kushtia",,dckushtia@mopa.gov.bd,7162300,,Kushtia,,Kushtia,"Deputy Commissioner, Kushtia",,dckushtia@mopa.gov.bd,7162300,,Kushtia,,Kushtia,,,,,,,,
3,664,"Deputy Commissioner, Meherpur",www.meherpur.gov.bd,Govt.,Organization,dcmeherpur@mopa.gov.bd,1411111113,,Not_Found3,NID_Not_Found3,TIN_Not_Found3,TL_Not_Found3,,2,Bangladesh,Meherpur,,Meherpur,dcmeherpur,dcmeherpur,"Deputy Commissioner, Meherpur",,dcmeherpur@mopa.gov.bd,,,Meherpur,,Meherpur,"Deputy Commissioner, Meherpur",,dcmeherpur@mopa.gov.bd,,,Meherpur,,Meherpur,,,,,,,,
4,670,"Deputy Commissioner, Brahmanbaria",www.brahmanbaria.gov.bd,Govt.,Organization,dcbrahmanbaria@mopa.gov.bd,1411111114,85157712,Not_Found4,NID_Not_Found4,TIN_Not_Found4,TL_Not_Found4,,2,Bangladesh,Brahmanbaria,,Brahmanbaria,dcbrahmanbaria,dcbrahmanbaria,"Deputy Commissioner, Brahmanbaria",,dcbrahmanbaria@mopa.gov.bd,85157712,62300,Brahmanbaria,,Brahmanbaria,"Deputy Commissioner, Brahmanbaria",,dcbrahmanbaria@mopa.gov.bd,,,Brahmanbaria,,Brahmanbaria,,,,,,,,
5,663,"Deputy Commissioner, Comilla",www.dccomilla.gov.bd,Govt.,Organization,dccomilla@mopa.gov.bd,1411111115,8160301,Not_Found5,NID_Not_Found5,TIN_Not_Found5,TL_Not_Found5,,2,Bangladesh,Comilla,,Comilla,DCComilla,DCComilla,"Deputy Commissioner, Comilla",,dccomilla@mopa.gov.bd,8160301,,Comilla,,Comilla,"Deputy Commissioner, Comilla",,dccomilla@mopa.gov.bd,8160301,,Comilla,,Comilla,,,,,,,,
6,688,"Deputy Commissioner, Jhenaidah",www.jhenaidah.gov.bd,Govt.,Organization,dcjhenaidah@mopa.gov.bd,1411111116,45162301,Not_Found6,NID_Not_Found6,TIN_Not_Found6,TL_Not_Found6,,2,Bangladesh,Jhenaidah,,Jhenaidah,DCJhenaidah,DCJhenaidah,"Deputy Commissioner, Jhenaidah",,dcjhenaidah@mopa.gov.bd,45162301,,Jhenaidah,,Jhenaidah,"Deputy Commissioner, Jhenaidah",,dcjhenaidah@mopa.gov.bd,45162301,,Jhenaidah,,Jhenaidah,,,,,,,,
7,657,"Deputy Commissioner, Jessore",www.jessore.gov.bd,Govt.,Organization,dcjessore@mopa.gov.bd,1411111117,,Not_Found7,NID_Not_Found7,TIN_Not_Found7,TL_Not_Found7,,2,Bangladesh,Jessore,7400,"Deputy Commissioner, Jessore",DCJessore,DCJessore,"Deputy Commissioner, Jessore",,dcjessore@mopa.gov.bd,,,Jessore,7400,DC office jessore,"Deputy Commissioner, Jessore",,dcjessore@mopa.gov.bd,,,Jessore,7400,Jessore,,,,,,,,
8,686,"Deputy Commissioner, Gaibandha",www.gaibandha.gov.bd,Govt.,Organization,dcgaibandha@mopa.gov.bd,1411111118,54151226,Not_Found8,NID_Not_Found8,TIN_Not_Found8,TL_Not_Found8,,2,Bangladesh,Gaibandha,,"Deputy Commissioner, Gaibandha",DCGaibandha,DCGaibandha,"Deputy Commissioner, Gaibandha",,dcgaibandha@mopa.gov.bd,54151226,,Gaibandha,,"Deputy Commissioner, Gaibandha","Deputy Commissioner, Gaibandha",,dcgaibandha@mopa.gov.bd,54151226,,,,Gaibandha,,,,,,,,
9,710,"Deputy Commissioner, Chapainawabganj",www.chapainawabganj.gov.bd,Govt.,Organization,dcchapainawabaganj@mopa.gov.bd,1411111119,78152300,Not_Found9,NID_Not_Found9,TIN_Not_Found9,TL_Not_Found9,,2,Bangladesh,Chapainawabganj,,"Deputy Commissioner, Chapainawabganj",DC_Chapainawabganj,DC_Chapainawabganj,"Deputy Commissioner, Chapainawabganj",,dcchapainabganj@mopa.gov.bd,78152300,,Chapainabganj,,"Deputy Commissioner, Chapainawabganj","Deputy Commissioner, Chapainawabganj",,dcchapainawabganj@mopa.gov.bd,,,Chapainawabgonj,,Chapainawabgonj,,,,,,,,
