SI,File no,Client Name,User,Service Purpose?,Bandwidth,"MB/
 GB",Mandatory IP Count,"Mandatory IP 
 Range (From-To)","Additional 
 IP Count","Additional IP 
 Range (From-To)",Connection Type,Comment,Add Documents,Activated By,Activation Date (dd-mm-yy),Connection Name,District,Upozilla/City Corp.,Union/Area,Connection Address,POP,Router/Switch,OFC Type,Local Loop Connectivity,Terminal Device Provider,Port Number,Mandatory VLAN,Additional VLAN,Distance Covered By BTCL (meter),Distance covered by Customer,Distance covered by Outsorcing company,Outsourcing Company Name,Total Local loop distance (meter)
1,661,"Deputy Commissioner, Noakhali",dcnoa,No,40,MB,4,180.211.170.192-194,0,,Regular,,,,,"Deputy comissioner, Noakhali",Noakhali,Sadar,Noakhali,"Maijdee court, Noakhali",Noakhali,Noah-AR-NE40E-X1-082,Dual,BTCL,Client,GE1/3/7,Not required,,1289,0,0,btclOC,1289
2,665,"Deputy Commissioner, Kushtia",dckushtia,No,50,MB,4,180.211.191.76-79,0,,Regular,,,,,"Deputy comissioner, Kushtia",Kushtia,Sadar,Kushtia,Kushtia,Kushtia,Kustia_S9303,Dual,BTCL,Client,GE2/0/0,111,,613,0,0,btclOC,613
3,664,"Deputy Commissioner, Meherpur",dcmeherpur,No,11,MB,4,180.211.191.136-139,0,,Regular,,,,,"Deputy comissioner, Meherpur",Meherpur,Sadar,Meherpur,Meherpur,Meherpur,Meherpur_CX_300,Dual,BTCL,Client,Eth2/0/1,201,,3506,0,0,,3506
4,670,"Deputy Commissioner, Brahmanbaria",dcbrahmanbaria,No,30,MB,4,180.211.179.80-84,0,,Regular,,,,,"Deputy comissioner, Brahmanbaria",Brahmanbaria,Sadar,Brahmanbaria,Brahmanbaria,Brahmanbaria,Brahma-9303,Dual,BTCL,Client,GE2/0/1,111,,1115,0,0,,1115
5,663,"Deputy Commissioner, Comilla",DCComilla,No,50,MB,4,180.211.162.224-227,0,,Regular,,,,,"Deputy comissioner, Comilla",Comilla,Sadar,Comilla,Comilla,Comilla,XDSL_Com_S9312,Dual,BTCL,Client,GE2/0/16,317,,1098,0,0,,1098
6,688,"Deputy Commissioner, Jhenaidah",DCJhenaidah,No,75,MB,4,180.211.191.140-143,0,,Regular,,,,,"Deputy comissioner, Jhenaidah",Jhenaidah,Sadar,Jhenaidah,Jhenaidah,Jhenaidah,Jhenaidah-SW-S9303,Dual,BTCL,Client,GE1/0/12,2717,,1992,0,0,,1992
7,657,"Deputy Commissioner, Jessore",DCJessore,No,11,MB,4,180.211.191.0-3,0,,Regular,,,,,"Deputy commissioner,Jessore",Jessore,Sadar,Jessore,Jessore,Jessore,BTCL_xDSL_Jes_S9312,Dual,BTCL,Client,GE2/0/9,113,,856,0,0,,856
8,686,"Deputy Commissioner, Gaibandha",DCGaibandha,No,70,MB,4,180.211.183.28-31,0,,Regular,,,,,"Deputy commissioner, Gaibandha",Gaibandha,Sadar,Gaibandha,Gaibandha,Gaibandha,Gaibandha_MES_3552,Dual,BTCL,Client,Eth1/1/1,304,,1000,0,0,,1000
9,710,"Deputy Commissioner, Chapainawabganj",DC_Chapainawabganj,No,2,MB,4,180.211.183.96-99,0,,Regular,,,,,"Deputy commissioner, Chapainawabganj",Chapai nawabganj,Sadar,Chapai nawabganj,Chapainawabganj,Chapai nawabganj,Chapai_SW_3552#01,Dual,BTCL,Client,Eth1/1/1,111,,1000,0,0,,1000
10,671,"Deputy Commissioner, Feni",DCFeni,No,25,MB,4,180.211.170.216-219,0,,Regular,,,,,"Deputy commissioner, Feni",Feni,Sadar,Feni,Feni,Feni,Feni_AR_40E_83,Dual,BTCL,Client,GE 1/3/0,Not required,,2388,0,0,,2388
11,683,"Deputy Commissioner, Naogaon",dcnaogaon,No,11,MB,4,180.211.183.104-107,0,,Regular,,,,,"Deputy commissioner, Naogaon",Naogaon,Sadar,Naogaon,Naogaon,Naogaon,Naogaon-S9303,Dual,BTCL,Client,GE2/0/0,111,,5300,0,0,,5300
12,678,"Deputy Commissioner, Dinajpur",dcdinajpur,No,60,MB,4,180.211.183.68-71,0,,Regular,,,,,"Deputy commissioner, Dinajpur",Dinajpur,Sadar,Dinajpur,Dinajpur,Dinajpur,Dinajpur-9303,Dual,BTCL,Client,GE2/0/0,111,,1100,0,0,,1100
13,684,"Deputy Commissionar, Pabna",dcpabna,No,50,MB,4,180.211.183.84-87,0,,Regular,,,,,"Deputy commissioner, Pabna",Pabna,Sadar,Pabna,Pabna,Pabna,Pabna-S9303,Dual,BTCL,Client,GE2/0/0,111,,675,0,0,,675
14,673,"Deputy Commissionar, Lalmonirhat",dclalmonirhat,No,14,MB,4,180.211.183.116-119,0,,Regular,,,,,"Deputy commissioner, Lalmonirhat",Lalmonirhat,Sadar,Lalmonirhat,Lalmonirhat,Lalmonirhat,Lalmonirhat_CX_300,Dual,BTCL,Client,Eth2/0/2,201,,2000,0,0,,2000
15,668,"Deputy Commissionar, Chittagong",dcchittagong,No,25,MB,4,180.211.170.204-207,0,,Regular,,,,,"Deputy Commissionar, Chittagong",Chittagong,Sadar,Chittagong,Chittagong,Nandonkanon,Nandankanon_TNDP_S9312,Dual,BTCL,Client,GE2/0/12,213,,4850,0,0,,4850
16,666,"Deputy Commissionar, Nilphamari",dcnilphamari,No,11,MB,4,180.211.183.120-123,0,,Regular,,,,,"Deputy Commissionar, Nilphamari",Nilphamari,Sadar,Nilphamari,Nilphamari,Nilphamari,Nilphamary-CX-300,Dual,BTCL,Client,Eth2/0/1,201,,1300,0,0,,1300
17,667,"Deputy Commissionar, Rangamati",dcrangamati,No,11,MB,4,180.211.170.196-199,0,,Regular,,,,,"Deputy Commissionar, Rangamati",Rangamati,Sadar,Rangamati,Rangamati,Rangamati,Ranga-9303,Dual,BTCL,Client,GE2/0/0,111,,1800,0,0,,1800
18,662,"Deputy Commissionar, Kishoreganj",dckishoreganj,No,11,MB,4,180.211.162.216-219,0,,Regular,,,,,"Deputy Commissionar, Kishoreganj",Kishoreganj,Sadar,Kishoreganj,Kishoreganj,Kishoreganj,KishoreGonj_CX300,Dual,BTCL,Client,Eth4/0/1,401,,1572,0,0,,1572
19,659,"Deputy Commissionar, Patuakhali",dcpatuakhali,No,1,MB,4,180.211.191.88-91,0,,Regular,,,,,"Deputy Commissionar, Patuakhali",Patuakhali,Sadar,Patuakhali,Patuakhali,Patuakhali,Potuakhali_SW_S3552#01,Dual,BTCL,Client,Eth1/1/1,174,,3700,0,0,,3700
20,687,"Deputy Commissionar, Narayanganj",dcnarayanganj,No,50,MB,4,180.211.162.212-215,0,,Regular,,,,,"Deputy Commissionar, Narayanganj",Narayanganj,Sadar,Narayanganj,Narayanganj,Narayanganj,BTTB_NAR_S9312_H01,Dual,BTCL,Client,GE2/0/2,206,,2300,0,0,,2300
