District,Upazilla,Union/Area,POP,Router,Vendor,Port,Description
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/0,To_BAR_S9312_GE-1/0/10
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/1,To_Chandmari-S3552_GE1/7/5
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/2,To_Chandmari-DSLAM-KT_DSLAM
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/3,To_Jhalokathi NE20_GE1/0/0
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/4,***NICTC_Bsrl_DHQ***
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/5,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/6,To_Chandmari-AR-Router-NE40E-X3_GE1/1/6
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,GE1/1/7,BTCL_xDSL_Baris DSLAM Service VLAN
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos1/0/0,<Magura_DBR_NE40E_123_POS1/2/0
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/0,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/1,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/2,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/3,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/4,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/5,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/6,
Barisal,Sadar,Barisal,Barisal BTCL Office,Barisal-AR-NE40E-113,Huawei,Pos2/0/7,
,,,,,,,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/2,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/3,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/4,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/5,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/6,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/7,
Barisal,Banaripara,Banaripara,Banaripara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/8,
,,,,,,,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/1,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/2,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/3,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/4,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/5,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/6,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/7,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/2/8,
Barisal,Agailjhara,Agailjhara,Agailjhara BTCL Office,CiTRANS R8353E,Fiberhome,GE0/7/1,
