District,Upazilla,Union/Area,POP,Switch,Vendor,Port,Description
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/0,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/1,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/2,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/3,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/4,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/5,***Always_on_mpls***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/6,TO-Barishal-DSL-MA5600q01_0/9/0
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/7,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/8,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/9,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/10,To Baris-AR-NE40E-113_G1/1/0
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/11,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/12,***Barishal_union***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/13,***Barishal_WAN_internet***
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/14,**Potuakhali-Univ-of-S&T**
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/15,**Potuakhali-Univ-of-S&T**
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/16,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/17,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/18,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/19,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/20,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/21,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/22,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/23,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/24,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/25,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/26,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/27,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/28,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/29,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/30,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/31,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/32,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/33,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/34,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/35,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/36,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/37,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/38,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/39,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/40,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/41,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/42,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/43,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/44,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/45,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/46,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE1/0/47,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/0,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/1,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/2,
Barisal,Barisal Sadar,Barisal,Barisal BTCL Office,BTTB_BAR_S9312,Huawei,GE2/0/3,
