Switch Name,VLAN,Customer Name,Access Port,IP Location,IP address,Trafic Route
BTTB_MOG_S8512_H01,2,description BTCL-2FL-PC2,10/1/2002,BTTB_IPCORE_NE80E_A,203.112.192.193,
BTTB_MOG_S8512_H01,8,***G_sultan_mgnt_Srimangol***,,,,
BTTB_MOG_S8512_H01,11,BTCL Satellite Backup Service,,,,
BTTB_MOG_S8512_H01,24,dotBangla_Primary_DNS,1/24/2000,,,
BTTB_MOG_S8512_H01,25,Police_Camera_mgnt,,,,
BTTB_MOG_S8512_H01,90,Gpon_LLI_Test,,BTTB_IPCORE_NE80E_A,123.49.1.249,
BTTB_MOG_S8512_H01,98,test,,,,
BTTB_MOG_S8512_H01,101,DPI-Test,,,,
BTTB_MOG_S8512_H01,103,BTCL-DPI-TEST,,,,
BTTB_MOG_S8512_H01,104,Minister-MoPME,1/18/2000,,,
BTTB_MOG_S8512_H01,106,Asia_Pacific_Communication_Ltd,,,,
BTTB_MOG_S8512_H01,107,GENUITY SYSTEM LIMITED,,,,
BTTB_MOG_S8512_H01,108,Police_Telecom_Rajarbag,5/1/2006,BTTB_IPCORE_NE80E_A,123.49.53.169,
BTTB_MOG_S8512_H01,109,WAQF_Authority,1/11/2000,BTTB_IPCORE_NE80E_A,123.49.52.205,12712 has same vlan.
BTTB_MOG_S8512_H01,110,Tiger-IT-Mog,1/10/2000,BTTB_IPCORE_NE80E_A,123.49.0.9,
BTTB_MOG_S8512_H01,113,BTCL_AO_HQ,1/13/2000,BTTB_IPCORE_NE80E_A,123.49.51.185,
BTTB_MOG_S8512_H01,114,BTCL_Call_Center,1/5/2000,BTTB_IPCORE_NE80E_B,123.49.0.105,
BTTB_MOG_S8512_H01,115,ZERO-Communication,,BTTB_IPCORE_NE80E_A,123.49.0.129,
BTTB_MOG_S8512_H01,116,*HN_Telecom*,1/16/2000,BTTB_IPCORE_NE80E_B,123.49.60.97,
BTTB_MOG_S8512_H01,118,ICT Incubator,,,,
BTTB_MOG_S8512_H01,120,Aamra Network,,BTTB_IPCORE_NE80E_A,,
BTTB_MOG_S8512_H01,121,min_mossarraf,5/1/2001,BTTB_IPCORE_NE80E_A,123.49.53.129,
BTTB_MOG_S8512_H01,122,BTV_3G_link,"0/1/22, 9/1/19",BTTB_IPCORE_NE80E_A,123.49.2.97,
BTTB_MOG_S8512_H01,124,dotBangla_Secondary_DNS,1/1/2024,BTTB_IPCORE_NE80E_B,180.211.212.209,
BTTB_MOG_S8512_H01,125,"""Metronet Ltd",1/1/2001,BTTB_IPCORE_NE80E_A,123.49.0.233,
BTTB_MOG_S8512_H01,126,RPATC_Dhaka,1/1/2002,BTTB_IPCORE_NE80E_A,123.49.53.109,
BTTB_MOG_S8512_H01,127,Bangla Trac Ltd,1/1/2003,BTTB_IPCORE_NE80E_A,123.49.4.177,
BTTB_MOG_S8512_H01,128,Link3_Technologies,,,"123.49.0.185,123.49.0.188",
BTTB_MOG_S8512_H01,129,Xenial Broadband,,,,
BTTB_MOG_S8512_H01,130,Gazi Communications Ltd,38718,BTTB_IPCORE_NE80E_A,123.49.4.113,
BTTB_MOG_S8512_H01,131,Warid Telecom Ltd,3/1/2022,BTTB_IPCORE_NE80E_A,123.49.4.193,
BTTB_MOG_S8512_H01,132,Padma_Oil_IEB,4/1/2010,BTTB_IPCORE_NE80E_A,123.49.49.69,
BTTB_MOG_S8512_H01,133,Orascom Telecom Services Ltd,"1/1/5 , 1/1/9",BTTB_IPCORE_NE80E_B,"123.49.4.201 , 123.49.4.205",
